date,time,event,duration_hours,location
2025-10-06,09:00,Team standup,0.5,Office - Shoreditch
2025-10-06,11:00,Code review session,2,Office - Shoreditch
2025-10-06,14:00,Lunch at Borough Market,1,Borough Market
2025-10-06,16:00,Client demo prep,1.5,Office - Shoreditch
2025-10-06,19:00,Drinks with mates,2,The Ten Bells
2025-10-07,08:30,Morning run,0.5,Regent's Park
2025-10-07,10:00,Product planning meeting,2,Office - Shoreditch
2025-10-07,13:00,Grab sandwich,0.5,Pret nearby
2025-10-07,15:00,Deep work - feature dev,3,Office - Shoreditch
2025-10-07,20:00,Pub quiz,2,The Crown & Shuttle
2025-10-08,09:00,Team standup,0.5,Office - Shoreditch
2025-10-08,10:00,Sprint planning,2,Office - Shoreditch
2025-10-08,13:00,Lunch break,1,Office - Shoreditch
2025-10-08,15:00,Code review,2,Office - Shoreditch
2025-10-09,09:00,Team standup,0.5,Office - Shoreditch
2025-10-09,11:00,Client meeting,1.5,Office - Shoreditch
2025-10-09,13:00,Lunch,1,Borough Market
2025-10-09,15:00,Development time,3,Office - Shoreditch
2025-10-10,09:00,Team standup,0.5,Office - Shoreditch
2025-10-10,10:00,Code reviews,2,Office - Shoreditch
2025-10-10,13:00,Team lunch,1.5,Local restaurant
2025-10-10,17:00,Drinks with team,2,Nearby pub
2025-10-11,10:00,Morning workout,1,Gym
2025-10-11,14:00,Lunch with friends,2,Restaurant
2025-10-11,19:00,Dinner and movie,3,Cinema
2025-10-12,11:00,Weekend farmers market,1,Broadway Market
2025-10-12,14:00,Brunch,2,Local cafe
